,userId,active,createdDate,lastLogin,role,signUpSource,state
17,5ff1e1b4cfcf6c399c274a54,True,2021-01-03 15:24:36.410,2021-01-03 15:24:36.452,consumer,Email,WI
18,5ff1e1eacfcf6c399c274ae6,True,2021-01-03 15:25:30.554,2021-01-03 15:25:30.597,consumer,Email,WI
19,5ff1e194b6a9d73a3a9f1052,True,2021-01-03 15:24:04.800,2021-01-03 15:25:37.858,consumer,Email,WI
20,5ff370c562fde912123a5e0e,True,2021-01-04 19:47:17.776,2021-01-04 19:50:50.563,consumer,Email,WI
21,5ff36d0362fde912123a5535,True,2021-01-04 19:31:15.973,2021-01-04 19:34:42.944,consumer,Email,WI
22,5ff36d83135e7011bcb864d6,True,2021-01-04 19:33:23.244,2021-01-04 19:33:23.425,consumer,Email,WI
23,5ff36c8862fde912123a538a,True,2021-01-04 19:29:12.943,2021-01-04 19:29:13.141,consumer,Email,WI
24,5ff370c562fde912123a5e0e,True,2021-01-04 19:47:17.776,2021-01-04 19:50:50.563,consumer,Email,WI
25,5ff36be7135e7011bcb856d3,True,2021-01-04 19:26:31.239,2021-01-04 19:29:52.726,consumer,Email,WI
26,5ff36d0362fde912123a5535,True,2021-01-04 19:31:15.973,2021-01-04 19:34:42.944,consumer,Email,WI
27,5ff36be7135e7011bcb856d3,True,2021-01-04 19:26:31.239,2021-01-04 19:29:52.726,consumer,Email,WI
28,5ff36a3862fde912123a4460,True,2021-01-04 19:19:20.352,2021-01-04 19:23:05.340,consumer,Email,WI
29,5ff36d0362fde912123a5535,True,2021-01-04 19:31:15.973,2021-01-04 19:34:42.944,consumer,Email,WI
30,5ff36c8e135e7011bcb85da4,True,2021-01-04 19:29:18.994,2021-01-04 19:29:19.173,consumer,Email,WI
31,5ff36a3862fde912123a4460,True,2021-01-04 19:19:20.352,2021-01-04 19:23:05.340,consumer,Email,WI
32,5ff370c562fde912123a5e0e,True,2021-01-04 19:47:17.776,2021-01-04 19:50:50.563,consumer,Email,WI
33,5ff36a3862fde912123a4460,True,2021-01-04 19:19:20.352,2021-01-04 19:23:05.340,consumer,Email,WI
34,5ff36a3862fde912123a4460,True,2021-01-04 19:19:20.352,2021-01-04 19:23:05.340,consumer,Email,WI
35,5ff370c562fde912123a5e0e,True,2021-01-04 19:47:17.776,2021-01-04 19:50:50.563,consumer,Email,WI
36,5ff36a3862fde912123a4460,True,2021-01-04 19:19:20.352,2021-01-04 19:23:05.340,consumer,Email,WI
37,5ff370c562fde912123a5e0e,True,2021-01-04 19:47:17.776,2021-01-04 19:50:50.563,consumer,Email,WI
38,5ff3711e62fde912123a620e,True,2021-01-04 19:48:46.807,2021-01-04 19:48:46.997,consumer,Email,WI
39,5ff36be7135e7011bcb856d3,True,2021-01-04 19:26:31.239,2021-01-04 19:29:52.726,consumer,Email,WI
40,5ff4ce33c3d63511e2a484b6,True,2021-01-05 20:38:11.229,2021-01-05 20:39:55.131,consumer,Email,WI
41,5ff473e7c1e2d0121a9b2697,True,2021-01-05 14:12:55.669,2021-01-05 14:12:55.877,consumer,Email,WI
42,5ff47392c3d63511e2a47881,True,2021-01-05 14:11:30.233,2021-01-05 14:15:33.550,consumer,Email,WI
43,5ff47392c3d63511e2a47881,True,2021-01-05 14:11:30.233,2021-01-05 14:15:33.550,consumer,Email,WI
44,5ff4ce33c3d63511e2a484b6,True,2021-01-05 20:38:11.229,2021-01-05 20:39:55.131,consumer,Email,WI
45,5ff4ce91c1e2d0121a9b3057,True,2021-01-05 20:39:45.282,2021-01-05 20:39:45.329,consumer,Email,WI
46,5ff47392c3d63511e2a47881,True,2021-01-05 14:11:30.233,2021-01-05 14:15:33.550,consumer,Email,WI
47,5ff4ce3dc3d63511e2a484dc,True,2021-01-05 20:38:21.887,2021-01-05 20:38:21.938,consumer,Email,WI
48,5ff4ce33c3d63511e2a484b6,True,2021-01-05 20:38:11.229,2021-01-05 20:39:55.131,consumer,Email,WI
49,5ff4ce3dc3d63511e2a484dc,True,2021-01-05 20:38:21.887,2021-01-05 20:38:21.938,consumer,Email,WI
50,5ff4ce33c3d63511e2a484b6,True,2021-01-05 20:38:11.229,2021-01-05 20:39:55.131,consumer,Email,WI
51,5ff47392c3d63511e2a47881,True,2021-01-05 14:11:30.233,2021-01-05 14:15:33.550,consumer,Email,WI
52,5ff4ce3dc3d63511e2a484dc,True,2021-01-05 20:38:21.887,2021-01-05 20:38:21.938,consumer,Email,WI
53,5ff4ce3dc3d63511e2a484dc,True,2021-01-05 20:38:21.887,2021-01-05 20:38:21.938,consumer,Email,WI
54,5ff4ce33c3d63511e2a484b6,True,2021-01-05 20:38:11.229,2021-01-05 20:39:55.131,consumer,Email,WI
55,5ff4ce34c3d63511e2a484ba,True,2021-01-05 20:38:12.503,2021-01-05 20:38:12.565,consumer,Email,WI
56,5ff4ce33c3d63511e2a484b6,True,2021-01-05 20:38:11.229,2021-01-05 20:39:55.131,consumer,Email,WI
57,5ff4ce33c3d63511e2a484b6,True,2021-01-05 20:38:11.229,2021-01-05 20:39:55.131,consumer,Email,WI
58,5ff4ce3ac1e2d0121a9b2fb3,True,2021-01-05 20:38:18.446,2021-01-05 20:38:18.495,consumer,Email,WI
59,5ff47392c3d63511e2a47881,True,2021-01-05 14:11:30.233,2021-01-05 14:15:33.550,consumer,Email,WI
60,5ff5d15aeb7c7d12096d91a2,True,2021-01-06 15:03:54.680,2021-01-06 15:08:10.009,consumer,Email,WI
61,5ff5d15aeb7c7d12096d91a2,True,2021-01-06 15:03:54.680,2021-01-06 15:08:10.009,consumer,Email,WI
62,5ff5d15aeb7c7d12096d91a2,True,2021-01-06 15:03:54.680,2021-01-06 15:08:10.009,consumer,Email,WI
63,5ff5d15aeb7c7d12096d91a2,True,2021-01-06 15:03:54.680,2021-01-06 15:08:10.009,consumer,Email,WI
